Designator,Mid X,Mid Y,Rotation,Layer
C1,197.61,-101.92,0.0,top
C14,270.72,-103.54,180.0,top
C15,259.4075,-111.37,0.0,top
C16,259.37,-103.17,0.0,top
C19,270.72,-111.56,0.0,top
C2,193.0075,-110.78,0.0,top
C20,245.74,-75.11,180.0,top
C22,269.59,-74.0,180.0,top
C25,160.68,-111.72,0.0,top
C26,160.68,-115.07,0.0,top
C3,249.09,-156.43,0.0,top
C5,183.96,-83.45,0.0,top
C8,160.4,-106.4,0.0,top
D1,215.73,-145.54,0.0,top
D10,227.45,-159.62,0.0,top
D11,239.36,-156.18,0.0,top
D12,239.36,-159.73,0.0,top
D2,215.73,-149.09,0.0,top
D25,150.268558,-142.373799,90.0,top
D26,150.045758,-156.543799,90.0,top
D27,168.975758,-151.113799,90.0,top
D28,187.885758,-150.813799,90.0,top
D29,221.420001,-137.122158,0.0,top
D3,215.73,-152.64,0.0,top
D30,140.578601,-123.253758,0.0,top
D31,136.058601,-142.280958,0.0,top
D32,140.518601,-104.253758,0.0,top
D33,202.320001,-137.132158,0.0,top
D34,221.480001,-119.539958,0.0,top
D35,140.388601,-85.393758,0.0,top
D36,240.460001,-137.052158,0.0,top
D4,215.73,-156.19,0.0,top
D5,215.73,-159.74,0.0,top
D6,227.45,-145.42,0.0,top
D7,227.45,-148.97,0.0,top
D8,227.45,-152.52,0.0,top
D9,227.45,-156.07,0.0,top
J1,271.205,-147.295,0.0,top
J2,229.65,-66.16,0.0,top
J3,205.995,-110.985,0.0,top
J4,253.3725,-127.08,0.0,top
J5,175.18,-93.725,180.0,top
LS1,252.95,-83.3,0.0,top
LS2,242.42,-92.99,0.0,top
R1,169.66,-71.27,0.0,top
R2,169.66,-74.22,0.0,top
R3,178.16,-83.09,0.0,top
R4,189.49,-83.61,0.0,top
R5,216.4775,-93.84,180.0,top
R6,216.76,-80.7,180.0,top
R7,157.72,-133.88,0.0,top
R8,150.95,-131.35,0.0,top
SW1,221.39,-109.02,0.0,top
SW10,140.5186,-130.8038,0.0,top
SW11,178.6486,-149.8038,0.0,top
SW12,140.4986,-149.8638,0.0,top
SW13,140.5186,-111.7838,0.0,top
SW2,202.32,-128.16,0.0,top
SW3,221.42,-128.15,0.0,top
SW4,140.5186,-73.5838,0.0,top
SW5,245.85,-108.19,0.0,top
SW6,140.5186,-92.7338,0.0,top
SW7,240.46,-128.08,0.0,top
SW8,197.7186,-149.7938,0.0,top
SW9,159.5586,-149.8038,0.0,top
U1,182.6,-70.72,90.0,top
U2,191.2,-105.03,270.0,top
U3,253.82,-66.89,90.0,top
U4,167.44,-105.7,270.0,top
U5,266.03,-94.47,0.0,top
U6,266.01,-107.16,0.0,top
U7,265.9125,-80.145,270.0,top
U8,176.917,-121.2025,0.0,top
